Ubicacion,maquina_id,Fecha,UPC,Aceptada,Participante
"Parque Principado",T68,"2021-12-17 10:22:00",8411327722018,1,2010009730806
"Parque Principado",T68,"2021-12-17 10:22:00",8410128010225,1,2010009730806
Labra,T26,"2021-12-17 10:26:00",8410297115318,1,2010101035885
Labra,T26,"2021-12-17 10:27:00",8410297115318,1,2010101035885
Labra,T26,"2021-12-17 10:27:00",8430807001214,1,2010101035885
Labra,T26,"2021-12-17 10:27:00",5449000034403,0,008d774b-1527-467b-8be9-e2a23a6ac097
Labra,T26,"2021-12-17 10:27:00",8410297012150,1,2010101035885
Labra,T26,"2021-12-17 10:27:00",8410297012150,1,2010101035885
Labra,T26,"2021-12-17 10:27:00",8410297115318,1,2010101035885
Labra,T26,"2021-12-17 10:27:00",8410297115318,1,2010101035885
Labra,T26,"2021-12-17 10:27:00",8410707003334,0,008d774b-1527-467b-8be9-e2a23a6ac097
Labra,T26,"2021-12-17 10:27:00",7611612501682,1,2010101035885
Labra,T26,"2021-12-17 10:27:00",8410793296139,1,2010101035885
"Prendes Pando",T21,"2021-12-17 10:27:00",8410569615614,1,2010007400916
"Prendes Pando",T21,"2021-12-17 10:27:00",8411327022019,1,2010007400916
"Prendes Pando",T21,"2021-12-17 10:27:00",8411327022019,1,2010007400916
"Prendes Pando",T21,"2021-12-17 10:27:00",8411327002745,1,2010007400916
"Prendes Pando",T21,"2021-12-17 10:27:00",8480012028742,1,2010007400916
"Prendes Pando",T21,"2021-12-17 10:27:00",8414100304753,1,2010007400916
"Prendes Pando",T21,"2021-12-17 10:27:00",8480012028742,1,2010007400916
"Prendes Pando",T21,"2021-12-17 10:27:00",8411327022019,1,2010007400916
Florida,T49,"2021-12-17 10:25:00",8410297114830,1,2010005603548
Florida,T49,"2021-12-17 10:25:00",8410297114830,1,2010005603548
Florida,T49,"2021-12-17 10:25:00",8480000285904,0,008d774b-1527-467b-8be9-e2a23a6ac097
Florida,T49,"2021-12-17 10:25:00",8425561010039,1,2010005603548
Florida,T49,"2021-12-17 10:25:00",8410297114830,1,2010005603548
Florida,T49,"2021-12-17 10:25:00",8410297114830,1,2010005603548
Florida,T49,"2021-12-17 10:26:00",8410297114830,1,2010005603548
Florida,T49,"2021-12-17 10:26:00",8480000285898,0,008d774b-1527-467b-8be9-e2a23a6ac097
"Parque Principado",T68,"2021-12-17 10:26:00",8410297111150,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:26:00",8410297111150,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:26:00",8410297111150,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:26:00",8425561010039,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:26:00",8410297111150,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:26:00",8410297111150,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:26:00",8410297111150,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:26:00",8410297111150,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:26:00",8425561010039,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:26:00",8425561010039,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:26:00",8425561010039,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:27:00",8425561010039,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:27:00",8425561010039,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:27:00",8425561010039,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:27:00",8425561010039,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:27:00",8410297111150,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:27:00",8410297111150,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:27:00",8410297111150,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:27:00",8425561010039,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:27:00",8425561010039,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:27:00",8425561010039,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:28:00",8425561010039,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:28:00",8425561010039,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:28:00",8425561010039,1,2010009715124
"Parque Principado",T68,"2021-12-17 10:28:00",8425561010039,1,2010009715124
Argentina,T19,"2021-12-17 10:29:00",7611612502023,1,2010008037074
"Parque Principado",T68,"2021-12-17 10:28:00",8425561010039,1,2010009715124
Argentina,T19,"2021-12-17 10:29:00",7611612502023,1,2010008037074
"Parque Principado",T68,"2021-12-17 10:28:00",8480024760869,1,2010009715124
Argentina,T19,"2021-12-17 10:29:00",8480017001924,1,2010008037074
"Parque Principado",T68,"2021-12-17 10:28:00",8480024760869,1,2010009715124
Argentina,T19,"2021-12-17 10:30:00",8410297012150,1,2010006369061
"Parque Principado",T68,"2021-12-17 10:28:00",8480024830982,1,2010009715124
Argentina,T19,"2021-12-17 10:30:00",8410297115219,1,2010006369061
"Parque Principado",T68,"2021-12-17 10:28:00",8480024830982,1,2010009715124
Argentina,T19,"2021-12-17 10:30:00",8410655006890,0,008d774b-1527-467b-8be9-e2a23a6ac097
"Parque Principado",T68,"2021-12-17 10:28:00",5449000169327,1,2010009715124
Argentina,T19,"2021-12-17 10:30:00",8410655006890,0,008d774b-1527-467b-8be9-e2a23a6ac097
"Parque Principado",T68,"2021-12-17 10:28:00",5449000169327,1,2010009715124
Argentina,T19,"2021-12-17 10:31:00",8480024760838,1,2010006369061
"Parque Principado",T68,"2021-12-17 10:29:00",5449000169327,1,2010009715124
Argentina,T19,"2021-12-17 10:31:00",8480024834652,1,2010006369061
"Parque Principado",T68,"2021-12-17 10:29:00",httpsl.ead.mebc2bUh,0,008d774b-1527-467b-8be9-e2a23a6ac097
Argentina,T19,"2021-12-17 10:31:00",8414100333449,0,008d774b-1527-467b-8be9-e2a23a6ac097
"Parque Principado",T68,"2021-12-17 10:30:00",5449000169327,1,2010009715124
"Cuatro Jueces",T69,"2021-12-17 10:31:00",8410297112362,1,2010008916805
"Cuatro Jueces",T69,"2021-12-17 10:32:00",8410297112362,1,2010008916805
"Cuatro Jueces",T69,"2021-12-17 10:32:00",8410297112362,1,2010008916805
"Cuatro Jueces",T69,"2021-12-17 10:32:00",8410297112362,1,2010008916805
